"filename", "language", "JavaScript", "Vue.js", "comment", "blank", "total"
"/Users/levi/Projects/eta_vue/src/App.vue", "Vue.js", 0, 27, 0, 4, 31
"/Users/levi/Projects/eta_vue/src/api/http.js", "JavaScript", 150, 0, 62, 19, 231
"/Users/levi/Projects/eta_vue/src/api/index.js", "JavaScript", 58, 0, 489, 56, 603
"/Users/levi/Projects/eta_vue/src/components/AwardShow.vue", "Vue.js", 0, 147, 7, 8, 162
"/Users/levi/Projects/eta_vue/src/components/HelloWorld.vue", "Vue.js", 0, 57, 0, 3, 60
"/Users/levi/Projects/eta_vue/src/components/Inform.vue", "Vue.js", 0, 190, 13, 7, 210
"/Users/levi/Projects/eta_vue/src/components/NumberCounter.vue", "Vue.js", 0, 65, 0, 5, 70
"/Users/levi/Projects/eta_vue/src/components/StuDetail.vue", "Vue.js", 0, 85, 12, 4, 101
"/Users/levi/Projects/eta_vue/src/components/TeaDetail.vue", "Vue.js", 0, 84, 12, 4, 100
"/Users/levi/Projects/eta_vue/src/components/UpdateAwardButton.vue", "Vue.js", 0, 118, 16, 4, 138
"/Users/levi/Projects/eta_vue/src/components/UploadForm.vue", "Vue.js", 0, 207, 25, 5, 237
"/Users/levi/Projects/eta_vue/src/main.js", "JavaScript", 12, 0, 0, 3, 15
"/Users/levi/Projects/eta_vue/src/plugins/axios.js", "JavaScript", 40, 0, 12, 10, 62
"/Users/levi/Projects/eta_vue/src/plugins/element.js", "JavaScript", 4, 0, 0, 2, 6
"/Users/levi/Projects/eta_vue/src/router/index.js", "JavaScript", 102, 0, 10, 9, 121
"/Users/levi/Projects/eta_vue/src/screens/LoginScreen.vue", "Vue.js", 0, 194, 19, 10, 223
"/Users/levi/Projects/eta_vue/src/screens/MainScreen.vue", "Vue.js", 0, 362, 21, 7, 390
"/Users/levi/Projects/eta_vue/src/store/index.js", "JavaScript", 55, 0, 6, 5, 66
"/Users/levi/Projects/eta_vue/src/test/LoginScreen.vue", "Vue.js", 0, 249, 22, 1, 272
"/Users/levi/Projects/eta_vue/src/tools/tool.js", "JavaScript", 0, 0, 0, 1, 1
"/Users/levi/Projects/eta_vue/src/views/Award.vue", "Vue.js", 0, 313, 27, 3, 343
"/Users/levi/Projects/eta_vue/src/views/Home.vue", "Vue.js", 0, 33, 0, 3, 36
"/Users/levi/Projects/eta_vue/src/views/ImportAward.vue", "Vue.js", 0, 87, 8, 4, 99
"/Users/levi/Projects/eta_vue/src/views/ImportStu.vue", "Vue.js", 0, 197, 19, 5, 221
"/Users/levi/Projects/eta_vue/src/views/ImportTea.vue", "Vue.js", 0, 87, 8, 4, 99
"/Users/levi/Projects/eta_vue/src/views/ManageStu.vue", "Vue.js", 0, 385, 36, 3, 424
"/Users/levi/Projects/eta_vue/src/views/ManageTea.vue", "Vue.js", 0, 438, 37, 5, 480
"/Users/levi/Projects/eta_vue/src/views/Mine.vue", "Vue.js", 0, 166, 15, 4, 185
"/Users/levi/Projects/eta_vue/src/views/Password.vue", "Vue.js", 0, 124, 4, 4, 132
"/Users/levi/Projects/eta_vue/src/views/QueryStu.vue", "Vue.js", 0, 456, 50, 5, 511
"/Users/levi/Projects/eta_vue/src/views/QueryTea.vue", "Vue.js", 0, 328, 40, 5, 373
"/Users/levi/Projects/eta_vue/src/views/Review.vue", "Vue.js", 0, 369, 35, 5, 409
"/Users/levi/Projects/eta_vue/src/views/Upload.vue", "Vue.js", 0, 144, 13, 7, 164
"Total", "-", 421, 4912, 1018, 224, 6575
