"filename", "language", "Vue.js", "JavaScript", "comment", "blank", "total"
"/Users/levi/Projects/eta_vue/src/App.vue", "Vue.js", 27, 0, 0, 4, 31
"/Users/levi/Projects/eta_vue/src/api/http.js", "JavaScript", 0, 153, 58, 19, 230
"/Users/levi/Projects/eta_vue/src/api/index.js", "JavaScript", 0, 56, 477, 54, 587
"/Users/levi/Projects/eta_vue/src/components/AwardShow.vue", "Vue.js", 146, 0, 3, 8, 157
"/Users/levi/Projects/eta_vue/src/components/HelloWorld.vue", "Vue.js", 57, 0, 0, 3, 60
"/Users/levi/Projects/eta_vue/src/components/Inform.vue", "Vue.js", 196, 0, 7, 6, 209
"/Users/levi/Projects/eta_vue/src/components/NumberCounter.vue", "Vue.js", 65, 0, 0, 5, 70
"/Users/levi/Projects/eta_vue/src/components/StuDetail.vue", "Vue.js", 88, 0, 9, 4, 101
"/Users/levi/Projects/eta_vue/src/components/TeaDetail.vue", "Vue.js", 87, 0, 9, 4, 100
"/Users/levi/Projects/eta_vue/src/components/UploadForm.vue", "Vue.js", 215, 0, 17, 5, 237
"/Users/levi/Projects/eta_vue/src/main.js", "JavaScript", 0, 12, 0, 3, 15
"/Users/levi/Projects/eta_vue/src/plugins/axios.js", "JavaScript", 0, 40, 12, 10, 62
"/Users/levi/Projects/eta_vue/src/plugins/element.js", "JavaScript", 0, 4, 0, 2, 6
"/Users/levi/Projects/eta_vue/src/router/index.js", "JavaScript", 0, 89, 4, 5, 98
"/Users/levi/Projects/eta_vue/src/screens/LoginScreen.vue", "Vue.js", 204, 0, 15, 8, 227
"/Users/levi/Projects/eta_vue/src/screens/MainScreen.vue", "Vue.js", 264, 0, 11, 5, 280
"/Users/levi/Projects/eta_vue/src/store/index.js", "JavaScript", 0, 50, 3, 3, 56
"/Users/levi/Projects/eta_vue/src/test/LoginScreen.vue", "Vue.js", 256, 0, 14, 1, 271
"/Users/levi/Projects/eta_vue/src/tools/tool.js", "JavaScript", 0, 0, 0, 1, 1
"/Users/levi/Projects/eta_vue/src/views/Award.vue", "Vue.js", 313, 0, 14, 3, 330
"/Users/levi/Projects/eta_vue/src/views/Home.vue", "Vue.js", 32, 0, 0, 3, 35
"/Users/levi/Projects/eta_vue/src/views/ImportAward.vue", "Vue.js", 92, 0, 3, 4, 99
"/Users/levi/Projects/eta_vue/src/views/ImportStu.vue", "Vue.js", 214, 0, 8, 5, 227
"/Users/levi/Projects/eta_vue/src/views/ImportTea.vue", "Vue.js", 92, 0, 3, 4, 99
"/Users/levi/Projects/eta_vue/src/views/ManageStu.vue", "Vue.js", 395, 0, 16, 3, 414
"/Users/levi/Projects/eta_vue/src/views/ManageTea.vue", "Vue.js", 449, 0, 17, 5, 471
"/Users/levi/Projects/eta_vue/src/views/Mine.vue", "Vue.js", 141, 0, 4, 5, 150
"/Users/levi/Projects/eta_vue/src/views/Password.vue", "Vue.js", 127, 0, 1, 4, 132
"/Users/levi/Projects/eta_vue/src/views/QueryStu.vue", "Vue.js", 466, 0, 21, 3, 490
"/Users/levi/Projects/eta_vue/src/views/QueryTea.vue", "Vue.js", 332, 0, 19, 4, 355
"/Users/levi/Projects/eta_vue/src/views/Review.vue", "Vue.js", 364, 0, 15, 4, 383
"/Users/levi/Projects/eta_vue/src/views/Upload.vue", "Vue.js", 142, 0, 7, 6, 155
"Total", "-", 4764, 404, 767, 203, 6138
